username,platform,engagement_signal,intent_tier,intent_signal,source,competitor_brand,followers
send_it_on.40,Instagram,1,1-High,comment,ig-comment,,
mariish_kaaa,Instagram,1,1-High,comment,ig-comment,,
koraycalik,Instagram,1,1-High,comment,ig-comment,,
gabridisegna,Instagram,1,1-High,comment,ig-comment,,
dylandifante,Instagram,1,1-High,comment,ig-comment,,
dylantalbot51,Instagram,1,1-High,comment,ig-comment,,
original_dilly,Instagram,1,1-High,comment,ig-comment,,
mpdunphy,Instagram,1,1-High,comment,ig-comment,,
r3id,Instagram,1,1-High,comment,ig-comment,,
evanweinstock57,Instagram,1,1-High,comment,ig-comment,,
derare.cards,Instagram,1,1-High,comment,ig-comment,,
andrew.auriemma,Instagram,1,1-High,comment,ig-comment,,
zminisce11,Instagram,1,1-High,comment,ig-comment,,
brad_abrey,Instagram,1,1-High,comment,ig-comment,,
savagepatchkid1993,Instagram,1,1-High,comment,ig-comment,,
danfarruggia_art,Instagram,1,1-High,comment,ig-comment,,
pokeguy_art_lun,Instagram,1,1-High,comment,ig-comment,,
malijuwon,Instagram,1,1-High,comment,ig-comment,,
lostindaapple.sauce,Instagram,1,1-High,comment,ig-comment,,
blackkevin254,Instagram,1,1-High,comment,ig-comment,,
yasqueenpurrrr,Instagram,1,1-High,comment,ig-comment,,
_.resh7,Instagram,1,1-High,comment,ig-comment,,
belziboeb,Instagram,1,1-High,comment,ig-comment,,
secretlyvanni,Instagram,1,1-High,comment,ig-comment,,
jay2.real13,Instagram,1,1-High,comment,ig-comment,,
jah90837,Instagram,1,1-High,comment,ig-comment,,
prjctveronica,Instagram,1,1-High,comment,ig-comment,,
ultimatetrollior2,Instagram,1,1-High,comment,ig-comment,,
simp_for_these_hoes,Instagram,1,1-High,comment,ig-comment,,
mackiewolf,Instagram,1,1-High,comment,ig-comment,,
losangeles.lifee,Instagram,1,1-High,comment,ig-comment,,
pokemontrapper,Instagram,1,1-High,comment,ig-comment,,
pankaj__khuriyal,Instagram,1,1-High,comment,ig-comment,,
pjjs71,Instagram,1,1-High,comment,ig-comment,,
tanthemain,Instagram,1,1-High,comment,ig-comment,,
joshyewahh_tcg,Instagram,1,1-High,comment,ig-comment,,
theblackdove,Instagram,1,1-High,comment,ig-comment,,
brookstoned,Instagram,1,1-High,comment,ig-comment,,
pablodeals,Instagram,1,1-High,comment,ig-comment,,
jakemccully5253,Instagram,1,1-High,comment,ig-comment,,
1800ankle_breaker,Instagram,1,1-High,comment,ig-comment,,
scottyword,Instagram,1,1-High,comment,ig-comment,,
kyagui2,Instagram,1,1-High,comment,ig-comment,,
mattreid.55,Instagram,1,1-High,comment,ig-comment,,
the_garthbrooks,Instagram,1,1-High,comment,ig-comment,,
spence22hicks,Instagram,1,1-High,comment,ig-comment,,
stephenslifts,Instagram,1,1-High,comment,ig-comment,,
rogerthat_33,Instagram,1,1-High,comment,ig-comment,,
alex.dimichele6,Instagram,1,1-High,comment,ig-comment,,
atkinsonkevin,Instagram,1,1-High,comment,ig-comment,,
g.nelson28,Instagram,1,1-High,comment,ig-comment,,
zach_w_3,Instagram,1,1-High,comment,ig-comment,,
_hudso,Instagram,1,1-High,comment,ig-comment,,
jjokollectibles,Instagram,1,1-High,comment,ig-comment,,
finnleanderplays,Instagram,1,1-High,comment,ig-comment,,
coryjpeterson_,Instagram,1,1-High,comment,ig-comment,,
__aditheboss,Instagram,1,1-High,comment,ig-comment,,
ajf_l10,Instagram,1,1-High,comment,ig-comment,,
mliu10,Instagram,1,1-High,comment,ig-comment,,
bksp07,Instagram,1,1-High,comment,ig-comment,,
docamadomendoza,Instagram,1,1-High,comment,ig-comment,,
danielgreenbergnyc,Instagram,1,1-High,comment,ig-comment,,
sirousdior,Instagram,1,1-High,comment,ig-comment,,
badder94,Instagram,1,1-High,comment,ig-comment,,
greyes62,Instagram,1,1-High,comment,ig-comment,,
zeovertt,Instagram,1,1-High,comment,ig-comment,,
ethanmorales1,Instagram,1,1-High,comment,ig-comment,,
nranney46,Instagram,1,1-High,comment,ig-comment,,
ackjones,Instagram,1,1-High,comment,ig-comment,,
fakedell,Instagram,1,1-High,comment,ig-comment,,
rockstarxpayso,Instagram,1,1-High,comment,ig-comment,,
0xchanglu,Instagram,1,1-High,comment,ig-comment,,
grizzlieshxt,Instagram,1,1-High,comment,ig-comment,,
exclusive.eddie,Instagram,1,1-High,comment,ig-comment,,
juanca_boy,Instagram,1,1-High,comment,ig-comment,,
keyan1327,Instagram,1,1-High,comment,ig-comment,,
j.davis10705,Instagram,1,1-High,comment,ig-comment,,
richdrugy_,Instagram,1,1-High,comment,ig-comment,,
barsallomedia,Instagram,1,1-High,comment,ig-comment,,
ralphmonter.o,Instagram,1,1-High,comment,ig-comment,,
_maarinia_,Instagram,1,1-High,comment,ig-comment,,
davilgaming105,Instagram,1,1-High,comment,ig-comment,,
abdelghafour_bounaji,Instagram,1,1-High,comment,ig-comment,,
nadia.53091569,Instagram,1,1-High,comment,ig-comment,,
113nariel,Instagram,1,1-High,comment,ig-comment,,
isa_marin24,Instagram,1,1-High,comment,ig-comment,,
aslidin.099,Instagram,1,1-High,comment,ig-comment,,
rodriguesdasilvavlr2023,Instagram,1,1-High,comment,ig-comment,,
al_xavi_,Instagram,1,1-High,comment,ig-comment,,
_gabyx22_,Instagram,1,1-High,comment,ig-comment,,
agnaldokonig.adv,Instagram,1,1-High,comment,ig-comment,,
hacked.by.g2,Instagram,1,1-High,comment,ig-comment,,
rigo_suaveee,Instagram,1,1-High,comment,ig-comment,,
jathomae,Instagram,1,1-High,comment,ig-comment,,
hexfendi,Instagram,1,1-High,comment,ig-comment,,
tozzte,Instagram,1,1-High,comment,ig-comment,,
farhi_harel,Instagram,1,1-High,comment,ig-comment,,
ronnytoo,Instagram,1,1-High,comment,ig-comment,,
rtatkovsky,Instagram,1,1-High,comment,ig-comment,,
k4rmelian,Instagram,1,1-High,comment,ig-comment,,
thriftin_mimi,Instagram,1,1-High,comment,ig-comment,,
dead.but.delicious13,Instagram,1,1-High,comment,ig-comment,,
macabre_mermaid,Instagram,1,1-High,comment,ig-comment,,
h0ll3ratchu,Instagram,1,1-High,comment,ig-comment,,
the.chuck.booker.trends,Instagram,1,1-High,comment,ig-comment,,
anaspelledbackwards,Instagram,1,1-High,comment,ig-comment,,
kalanisaurusrex,Instagram,1,1-High,comment,ig-comment,,
rada_jurkovic,Instagram,1,1-High,comment,ig-comment,,
guillaumepessier,Instagram,1,1-High,comment,ig-comment,,
draganadujovic,Instagram,1,1-High,comment,ig-comment,,
kellymariemackinnon,Instagram,1,1-High,comment,ig-comment,,
tufangollee,Instagram,1,1-High,comment,ig-comment,,
nermineko,Instagram,1,1-High,comment,ig-comment,,
gizemgulcvn,Instagram,1,1-High,comment,ig-comment,,
jewellofpersia,Instagram,1,1-High,comment,ig-comment,,
aurelion_noir,Instagram,1,1-High,comment,ig-comment,,
lucasvugts,Instagram,1,1-High,comment,ig-comment,,
c_caicedo93,Instagram,1,1-High,comment,ig-comment,,
chukwuemeka_1111,Instagram,1,1-High,comment,ig-comment,,
shotzoutdavette,Instagram,1,1-High,comment,ig-comment,,
4zaanw1mus4,Instagram,1,1-High,comment,ig-comment,,
thisiscotto,Instagram,1,1-High,comment,ig-comment,,
nick_9_fingers,Instagram,1,1-High,comment,ig-comment,,
_garett.hicks_,Instagram,1,1-High,comment,ig-comment,,
danne0207,Instagram,1,1-High,comment,ig-comment,,
e.weezy116,Instagram,1,1-High,comment,ig-comment,,
della.luca_x,Instagram,1,1-High,comment,ig-comment,,
sigma.shitpostin,Instagram,1,1-High,comment,ig-comment,,
carl.welford,Instagram,1,1-High,comment,ig-comment,,
lucefied,Instagram,1,1-High,comment,ig-comment,,
rajivck,Instagram,1,1-High,comment,ig-comment,,
sammie.flo19,Instagram,1,1-High,comment,ig-comment,,
juanita_pride,Instagram,1,1-High,comment,ig-comment,,
aldane.e.t.blastoff,Instagram,1,1-High,comment,ig-comment,,
holdencauliflower05,Instagram,1,1-High,comment,ig-comment,,
big_boy_fitness,Instagram,1,1-High,comment,ig-comment,,
firemane_jack,Instagram,1,1-High,comment,ig-comment,,
