username,platform,comments_on_competitors,posts_engaged,source,profile
savagepatchkid1993,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/savagepatchkid1993/
danfarruggia_art,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/danfarruggia_art/
pokeguy_art_lun,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/pokeguy_art_lun/
malijuwon,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/malijuwon/
lostindaapple.sauce,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/lostindaapple.sauce/
blackkevin254,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/blackkevin254/
yasqueenpurrrr,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/yasqueenpurrrr/
_.resh7,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_.resh7/
belziboeb,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/belziboeb/
secretlyvanni,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/secretlyvanni/
jay2.real13,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jay2.real13/
jah90837,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jah90837/
prjctveronica,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/prjctveronica/
ultimatetrollior2,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ultimatetrollior2/
simp_for_these_hoes,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/simp_for_these_hoes/
mackiewolf,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mackiewolf/
losangeles.lifee,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/losangeles.lifee/
pokemontrapper,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/pokemontrapper/
pankaj__khuriyal,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/pankaj__khuriyal/
pjjs71,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/pjjs71/
tanthemain,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/tanthemain/
joshyewahh_tcg,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/joshyewahh_tcg/
theblackdove,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/theblackdove/
brookstoned,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/brookstoned/
pablodeals,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/pablodeals/
jakemccully5253,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jakemccully5253/
1800ankle_breaker,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/1800ankle_breaker/
scottyword,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/scottyword/
kyagui2,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/kyagui2/
mattreid.55,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mattreid.55/
the_garthbrooks,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/the_garthbrooks/
spence22hicks,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/spence22hicks/
stephenslifts,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/stephenslifts/
rogerthat_33,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/rogerthat_33/
alex.dimichele6,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/alex.dimichele6/
atkinsonkevin,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/atkinsonkevin/
g.nelson28,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/g.nelson28/
zach_w_3,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/zach_w_3/
_hudso,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_hudso/
jjokollectibles,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jjokollectibles/
finnleanderplays,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/finnleanderplays/
coryjpeterson_,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/coryjpeterson_/
__aditheboss,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/__aditheboss/
ajf_l10,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ajf_l10/
mliu10,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mliu10/
bksp07,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/bksp07/
docamadomendoza,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/docamadomendoza/
danielgreenbergnyc,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/danielgreenbergnyc/
sirousdior,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/sirousdior/
badder94,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/badder94/
greyes62,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/greyes62/
zeovertt,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/zeovertt/
ethanmorales1,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ethanmorales1/
nranney46,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/nranney46/
ackjones,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ackjones/
fakedell,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/fakedell/
rockstarxpayso,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/rockstarxpayso/
0xchanglu,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/0xchanglu/
grizzlieshxt,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/grizzlieshxt/
exclusive.eddie,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/exclusive.eddie/
juanca_boy,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/juanca_boy/
keyan1327,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/keyan1327/
j.davis10705,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/j.davis10705/
richdrugy_,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/richdrugy_/
barsallomedia,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/barsallomedia/
ralphmonter.o,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/ralphmonter.o/
_maarinia_,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_maarinia_/
davilgaming105,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/davilgaming105/
abdelghafour_bounaji,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/abdelghafour_bounaji/
nadia.53091569,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/nadia.53091569/
113nariel,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/113nariel/
isa_marin24,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/isa_marin24/
aslidin.099,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/aslidin.099/
